date,bagsit_river,bancal_river,bayaoas_river,bucao_river,bulsa_river_ds,bulsa_river_us,camiling_river_ds,camiling_river_us,dapya_river,dumoloc_river,lawis_river,malabobo_river,maloma_river,mapita_river,masinloc_river,pmb1,pmb2,pmb3,pmb4,sc1,sc2,sc3,sc4,sc5,SC5b,sc6,sc7,salasa_river
1993-12-18,,606.1762324951782,1042.5397029812923,4177.517258331821,2822.055792630955,5034.443393867227,845.8426042097177,5134.5292920356105,296.69170857017866,613.562608652903,4629.114924086985,385.9994901790889,76.58865541713706,183.22400679594355,261.391071822677,16.059202088540985,42.96213928097876,35.91141163812215,47.232260941385405,57.33690525514875,88.64435512577268,56.5695068284731,29.880219956128187,59.54409690394091,,323.2911912769494,121.75087194456624,
1993-12-19,,589.3511236735715,1149.2109858127565,4100.432576913896,2818.671718860099,5021.963939121306,876.9416344814805,5344.509615278772,286.0121199143202,676.0817916451957,5062.677446991092,424.2467055836189,74.3134976724252,201.94650041770583,280.3546378585139,17.64250052992277,47.2208266088658,39.47280251896294,51.90385241105092,62.993948112095005,97.40990128827377,62.17210981407363,32.840392470627485,65.46314710200414,,355.46953845142724,133.91036835780272,
1993-12-20,,589.3511236735715,1255.9410895850517,4100.432576913896,2818.671718860099,5021.963939121306,908.0406647532434,5554.489938521931,286.0121199143202,738.6534560372214,5518.996250468189,462.601516106554,74.3134976724252,220.68103354146888,303.4649932569787,19.263673612254102,51.56891377243588,43.108082472476546,56.67911156424308,68.66864130226922,106.2013866016914,67.79066371709965,35.80893136374021,71.39748444963739,,387.728051960683,146.09722233901698,
1993-12-21,,572.5260148519649,1362.5535514756855,4023.3478954959687,2815.287645089244,5009.484484375384,939.1396950250062,5764.470261765093,275.33253125846164,801.1201576297806,5952.558773372296,500.74113639267887,72.03833992771334,239.3914876612304,322.4285592928156,20.8469720536359,55.8276011003229,46.669473353317336,61.350703033908616,74.30803382598752,114.94099361327598,73.37731578527467,38.760737499626075,77.30124749813059,,419.82623280038314,158.2293611842757,
1993-12-22,,589.3511236735715,1469.1660133663195,4100.432576913896,2818.671718860099,5021.963939121306,970.2387252967691,5974.450585008253,286.0121199143202,863.5868592223397,6431.633857422379,538.8807566788038,74.3134976724252,258.1019417809919,349.68570405390807,22.506019776916773,60.265088099576,50.378642379503766,66.2296298706274,79.94742634970585,123.68060062486053,78.9639678534497,41.71254363551194,83.2050105466238,,451.92441364008323,170.3615000295344,
1993-12-23,,572.5260148519649,1584.931482235347,4023.3478954959687,2815.287645089244,5009.484484375384,1004.0420190704242,6202.690066794296,275.33253125846164,931.3804851104371,6904.8762762810165,580.121675448651,72.03833992771334,278.4153129071661,370.6588662113507,24.230289790675204,64.90186996342565,54.25614456065008,71.31646126665746,86.04190016555248,133.12829516170635,85.00451391878893,44.90429580859581,89.59156999584593,,486.6534079702016,183.49389233407743,
1993-12-24,,589.3511236735715,1700.8145929860361,4100.432576913896,2818.671718860099,5021.963939121306,1037.8453128440794,6430.92954858034,286.0121199143202,999.2790737980015,7423.631256285629,621.5777844553083,74.3134976724252,298.7527630373417,399.9256070940487,26.030309086332718,69.71745149864137,58.28142488714205,76.6106280297408,92.171674647855,142.62786800038523,91.07696181897916,48.11278073890653,96.0087037442081,,521.5427349698755,196.680999774576,
1993-12-25,,572.5260148519649,1816.5800618550634,4023.3478954959687,2815.287645089244,5009.484484375384,1071.6486066177347,6659.1690303663845,275.33253125846164,1067.072699686099,7896.873675144267,662.8187032251557,72.03833992771334,319.0661341635158,420.8987692514913,27.754579100091146,74.35423336249102,62.15892706828837,81.69745942577084,98.26614846370163,152.07556253723104,97.1175078843184,51.3045329119904,102.39526319343022,,556.271729299994,209.813392079119,
1993-12-26,,606.1762324951782,1932.4631726057523,4177.517258331821,2822.055792630955,5034.443393867227,1105.45190039139,6887.408512152429,296.69170857017866,1134.9712883736631,8438.384935721868,704.274812231813,76.58865541713706,339.40358429369144,454.31229949681705,29.5924730366982,79.25921473338975,66.25809646745316,87.0952938723808,104.39592294600412,161.5751353759099,103.18995578450861,54.51301784230114,108.8123969417924,,591.161056299668,223.00049951961765,
1993-12-27,,572.5260148519649,2047.581611125643,4023.3478954959687,2815.287645089244,5009.484484375384,1139.2551941650452,7115.647993938472,275.33253125846164,1202.1876188646934,8888.871074007518,744.332184699204,72.03833992771334,359.58452089785743,471.13867229163185,31.27886840950708,83.80659676155636,70.06170957592664,92.07845758488422,110.29624309634336,170.7374992526739,109.05504175816726,57.61273985063728,115.03079774574427,,625.0082209472304,235.83195857640504,
