Sample_ID,Sampling date,Season,Site (Follow catchment column for actual catchment; site name is confusing),Sample_type,Lat,Lon,Group,Catchment,Inversion,Conductivity (uS),Temperature (degrees C),TDS_ppm,pH,Ca_ppm,Sr_ppb,K_ppm,Na_ppm,Si_ppm,Mg_ppm,Li_ppb,Re_ppb,Cr_ppb,Al_ppb,Ca_uM,Sr_nM,K_uM,Na_uM,Si_uM,Mg_uM,Li_nM,Re_nM,Cr_nM,Al_nM,Sr_ratio,Sr_ratio_unc,Ca_meq,Sr_meq,K_meq,Na_meq,Si_meq,Mg_meq,F_ppm,Cl_ppm,NO2_ppm,Br_ppm,NO3_ppm,SO4_ppm,PO4_ppm,F_uM,Cl_uM,NO2_uM,Br_uM,NO3_uM,SO4_uM,PO4_uM,F_meq,Cl_meq,NO2_meq,Br_meq,NO3_meq,SO4_meq,PO4_meq
PH-08-04,1/24/2008,dry,Alasa River,water,15.456,119.955,West,salasa_river,Y,,28.7,198,7.68,8.897316,,1.4075388,20.94367956,13.059525,19.54122,,,,,222,,36,911,465,804,,,,,,,0.444,,0.036,0.911,1.86,1.608,,82.180054,,,,15.17748,,,2318,,4,5,158,,,2.318,,0.004,0.005,0.316,
PH-08-05,1/25/2008,dry,"Lawis River, us",water,15.56,120.1,West,lawis_river,Y,,23.3,150,8.1,4.0078,,0,1.402375909,11.655275,17.20794,,,,,100,,0,61,415,708,,,,,,,0.2,,0,0.061,1.66,1.416,,1.276308,,,,2.68968,,0,36,,,3,28,,,,,,,,
PH-08-06,1/25/2008,dry,Lawis Tributary I,water,15.562,120.1,West,lawis_river,Y,,23.6,163,8.13,1.763432,5.34482,0,1.172478219,11.823785,20.65925,,,,,44,61,0,51,421,850,,,,,0.70488,,0.088,,0,0.051,1.684,1.7,,1.453573,,,,3.16998,,,41,,,2,33,,,0.041,,,0.002,0.066,
PH-08-07,1/25/2008,dry,Lawis Tributary II,water,15.571,120.045,West,lawis_river,Y,,24.9,255,8.03,2.124134,6.30864,0,1.264437295,20.473965,31.377755,,,,,53,72,0,55,729,1291,,,,,0.70527,,0.106,,0,0.055,2.916,2.582,,1.347214,,,,3.07392,,0,38,,,,32,,0,0.038,,,,0.064,
PH-08-08,1/25/2008,dry,Masinloc River,water,15.538,119.977,West,masinloc_river,N,,32.1,1234,7.76,25.970544,314.20532,18.8453806,318.9600551,17.553125,70.119925,,,,,648,3586,482,13874,625,2885,,,,,0.7089,,1.296,,0.482,13.874,2.5,5.77,,715.618805,,,,104.89752,,4,20185,,29,,1092,,0.004,20.185,,0.029,,2.184,
PH-08-61,2/9/2008,dry,"Camiling River, ds",water,15.616,120.375,East,camiling_river_ds,Y,,27.7,279,8.61,19.558064,,0.2736881,5.103728718,17.18802,22.676565,,,,,488,,7,222,612,933,,,,,,,0.976,,0.007,0.222,2.448,1.866,,3.226223,,,,7.78086,,3,91,,,0,81,,0.003,0.091,,,0,0.162,
PH-08-62,2/9/2008,dry,"Bulsa River, us",water,15.465,120.45,East,bulsa_river_us,Y,,29.7,262,8.4,19.477908,,0.5082779,7.080848852,19.99652,16.91628,,,,,486,,13,308,712,696,,,,,,,0.972,,0.013,0.308,2.848,1.392,,2.517163,,,,12.29568,,12,71,,,27,128,,0.012,0.071,,,0.027,0.256,
ZAM-22-01,12/17/2022,dry,"Bulsa River, ds",water,15.465,120.45,East,bulsa_river_ds,Y,246.4,25.4,142.5,8.375,19.286,,0.9825,7.512,14.7905,14.098,,,,,481.2116373,,25.1289698,326.7540444,526.6334342,580.0452582,,,,,0.704422768,1.87E-05,0.962423275,0,0.02512897,0.326754044,2.106533737,1.160090516,0.05,2.03,,,0.255,7.82,,2.631800135,57.25890616,,,4.112578199,81.40745367,,0.0026318,0.057258906,,,0.004112578,0.162814907,
ZAM-22-02,12/17/2022,dry,"Bulsa River, us",water,15.451796,120.370883,East,bulsa_river_us,Y,234.9,26.3,135.2,8.043333333,18.296,43.634,0.803,6.843,15.781,13.892,0.17,0,1.389,29.839,456.5098059,497.9930978,20.53797735,297.6541435,561.9013708,571.5696359,24.44063221,0,26.71531523,1105.922384,0.704344723,1.47E-05,0.913019612,0.000995986,0.020537977,0.297654143,2.247605483,1.143139272,0.065,1.28,,,1.005,7.625,,3.421340175,36.10413787,,,16.20839643,79.37747241,,0.00342134,0.036104138,,,0.016208396,0.158754945,
ZAM-22-03,12/17/2022,dry,"Camiling River, us",water,15.5591197,120.3704904,East,camiling_river_us,Y,268.1,27.4,154.5,7.9,17.4155,36.909,0.8775,4.935,13.2205,20.309,0.337,0,1.752,9.228,434.5401467,421.2421386,22.44343104,214.6607041,470.7317073,835.5893849,48.58306556,0,33.6930793,342.0286511,,,0.869080293,0.000842484,0.022443431,0.214660704,1.882926829,1.67117877,0.04,1.895,,,1.245,5.285,,2.105440108,53.45104787,,,20.07905827,55.01769727,,0.00210544,0.053451048,,,0.020079058,0.110035395,
ZAM-22-04,12/17/2022,dry,"Camiling River, ds",water,15.6151159,120.3758981,East,camiling_river_ds,Y,305.9,28.8,176.6,7.83,20.4785,65.56,0.811,5.9375,12.735,21.7315,0.445,0,1.558,62.264,510.9661161,748.2349906,20.74258983,258.2670578,453.4448994,894.1164369,64.06244735,0,29.97530298,2307.635605,0.704019175,1.55E-05,1.021932232,0.00149647,0.02074259,0.258267058,1.813779598,1.788232874,0.055,3.355,,,0.175,6.395,,2.894980148,94.63233013,,,2.822357588,66.57297522,,0.00289498,0.09463233,,,0.002822358,0.13314595,
ZAM-22-05,12/17/2022,dry,Malabobo River,water,15.7039962,120.3000033,East,malabobo_river,Y,279.2,30.6,160,8.093333333,22.461,123.604,0.7205,5.6825,14.9155,17.966,0.423,0,0.925,18.508,560.4321573,1410.677223,18.42791119,247.1751674,531.0842087,739.1894672,61.00896881,0,17.78872882,685.9571963,0.703923198,1.65E-05,1.120864315,0.002821354,0.018427911,0.247175167,2.124336835,1.478378934,0.05,1.685,,,0.11,3.53,,2.631800135,47.52771275,,,1.774053341,36.74786592,,0.0026318,0.047527713,,,0.001774053,0.073495732,
ZAM-22-06,12/17/2022,dry,Bayaoas River,water,15.8233306,120.2452802,East,bayaoas_river,Y,297.3,32.6,169.7,8.2225,24.1845,34.442,0.7175,4.971,20.9515,19.263,0.224,0,1.69,7.503,603.4358002,393.0860116,18.35118151,216.226618,746.0032046,792.5529726,32.20923438,0,32.49723305,278.0656807,0.704105325,1.67E-05,1.2068716,0.000786172,0.018351182,0.216226618,2.984012818,1.585105945,0.045,2.335,,,0.02,3.41,,2.368620121,65.86184526,,,0.322555153,35.49864668,,0.00236862,0.065861845,,,0.000322555,0.070997293,
ZAM-22-07,12/17/2022,dry,Dumoloc River,water,15.9184251,120.2020252,East,dumoloc_river,Y,345,32.8,198.1,7.9425,30.3135,53.244,0.8365,8.9575,21.6045,19.6645,0.192,0,1.159,1.772,756.3625929,607.6702649,21.3947921,389.6298393,769.2540502,809.0722074,27.72538011,0,22.29001439,65.66571346,0.704422578,1.69E-05,1.512725186,1.21534053,0.021394792,0.389629839,3.077016201,1.618144415,0.05,2.185,,,0.15,5.4,,2.631800135,61.6308916,,,2.419163647,56.21486571,,0.0026318,0.061630892,,,0.002419164,0.112429731,
ZAM-22-08,12/17/2022,dry,Mapita River ,water,15.894583,120.205,East,mapita_river,Y,343.4,32.3,199.5,8.053333333,30.5075,51.703,0.677,6.8435,23.9555,20.429,0.251,0,1.613,12.631,761.2031538,590.0790034,17.31533085,297.6758923,852.9642158,840.5266406,36.1784188,0,31.01613804,468.136372,0.704229512,1.91E-05,1.522406308,0.001180158,0.017315331,0.297675892,3.411856863,1.681053281,0.03,1.265,,,0.045,6.14,,1.579080081,35.68104251,,,0.725749094,63.91838434,,0.00157908,0.035681043,,,0.000725749,0.127836769,
ZAM-22-09,12/18/2022,dry,PMB1,water,15.7532462,119.9367065,PMB,pmb1,Y,509.5,26.7,302.2,8.363333333,32.668,242.804,0.819,3.7885,16.7675,42.928,2.054,0,6.008,11.748,815.1105345,2771.107532,20.94720231,164.7906945,597.0268827,1766.220942,295.9149443,0,115.5605596,435.4233898,0.708656749,1.15E-05,1.630221069,0.005542215,0.020947202,0.164790695,2.388107531,3.532441884,0.06,3.6,,,0.12,8.915,,3.158160161,101.5428878,,,1.935330917,92.80657922,,0.00315816,0.101542888,,,0.001935331,0.185613158,
ZAM-22-10,12/18/2022,dry,PMB2,water,15.754385,119.9496498,PMB,pmb2,Y,576.7,25.9,344.5,8.316666667,42.4345,522.391,0.737,3.2685,20.7165,46.783,8.221,0,13.115,100.835,1058.797844,5962.004547,18.84992442,142.1719374,737.6357486,1924.830282,1184.483126,0,252.2658717,3737.189211,0.708684425,1.03E-05,2.117595688,0.011924009,0.018849924,0.142171937,2.950542994,3.849660564,0.055,2.945,,,0.2,8.905,,2.894980148,83.06772346,,,3.225551529,92.70247762,,0.00289498,0.083067723,,,0.003225552,0.185404955,
ZAM-22-11,12/18/2022,dry,PMB4,water,15.7432731,119.9522123,PMB,pmb4,Y,535.8,26.6,318.3,8.73,40.1545,257.805,1.0545,2.867,13.229,43.3275,1.806,0,8.963,43.189,1001.908778,2942.307921,26.97048209,124.7076471,471.03436,1782.657889,260.1340214,0,172.3920193,1600.691573,0.708722752,1.06E-05,2.003817556,0.005884616,0.026970482,0.124707647,1.88413744,3.565315779,0.065,3.475,,,0.095,6.56,,3.421340175,98.01709305,,,1.532136976,68.29065168,,0.00342134,0.098017093,,,0.001532137,0.136581303,
ZAM-22-12,12/18/2022,dry,Confluence of PMB3 and PMB4,water,15.7439769,119.9520873,PMB,pmb34,Y,528.1,26.4,314.2,8.523333333,39.4795,217.062,0.6105,2.5945,15.737,43.6725,1.857,0,10.9,41.211,985.0666201,2477.30573,15.61448963,112.8545485,560.3346982,1796.852499,267.5034073,0,209.6546134,1527.396193,,,1.97013324,0.004954611,0.01561449,0.112854548,2.241338793,3.593704999,0.03,3.215,,,0.09,5.97,,1.579080081,90.68344005,,,1.451498188,62.14865709,,0.00157908,0.09068344,,,0.001451498,0.124297314,
ZAM-22-13,12/18/2022,dry,PMB3,water,15.7440789,119.952221,PMB,pmb3,Y,527,25.9,313.2,9.263333333,39.4545,179.544,0.623,2.5175,18.6425,43.5005,2.042,0,12.051,108.28,984.4428365,2049.126518,15.93419663,109.5052325,663.7884992,1789.775766,294.1842393,0,231.8001611,4013.115492,0.708657543,1.24E-05,1.968885673,0.004098253,0.015934197,0.109505233,2.655153997,3.579551533,0.075,3.295,,,0.16,6.015,,3.947700202,92.93994866,,,2.580441223,62.6171143,,0.0039477,0.092939949,,,0.002580441,0.125234229,
ZAM-22-14,12/18/2022,dry,Roadside channel,water,15.7443003,119.9445241,PMB,ephemeral,Y,,,,,,,,,,,,,,#N/A,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAM-22-15,12/18/2022,dry,SC1,water,15.778614,119.9374437,SC,sc1,N,446.8,29,299.9,8.313333333,33.7095,563.137,20.1465,578.0675,15.363,95.6,13.289,0,20.465,367.401,841.0973601,6427.037634,515.2781579,25144.55452,547.0179811,3933.347048,1914.582765,0,393.6292039,13616.7728,0.708994355,1.26E-05,1.68219472,0.012854075,0.515278158,25.14455452,2.188071925,7.866694096,0.115,1305.075,,,,171.3,,6.053140309,36811.41229,,,,1783.260462,,0.00605314,36.81141229,,,,3.566520924,
ZAM-22-16,12/18/2022,dry,SC7,water,15.7911037,119.9928357,SC,sc7,Y,279.4,30,160.2,8.053333333,2.4425,12.895,0.7245,6.033,13.328,31.197,0.989,0,17.381,33.498,60.94365986,147.1651103,18.53021743,262.4210796,474.5593733,1283.563053,142.554268,0,334.3079168,1241.52374,0.706961973,1.23E-05,0.12188732,0.00029433,0.018530217,0.26242108,1.898237493,2.567126106,0.04,9.355,,,0.295,2.815,,2.105440108,263.8704764,,,4.757688505,29.30460129,,0.00210544,0.263870476,,,0.004757689,0.058609203,
ZAM-22-17,12/18/2022,dry,SC6,water,15.7906256,119.991275,SC,sc6,Y,331.3,32.3,190.3,8.606666667,2.3495,14.404,0.645,2.648,15.3505,40.3905,1.327,0,16.584,2.246,58.62318479,164.3956558,16.49688094,115.1816706,546.5729037,1661.818556,191.177138,0,318.9753591,83.23813145,,,0.11724637,0.000328791,0.016496881,0.115181671,2.186291615,3.323637112,0.055,3.695,,,0.225,2.67,,2.894980148,104.2224917,,,3.62874547,27.79512804,,0.00289498,0.104222492,,,0.003628745,0.055590256,
ZAM-22-18,12/18/2022,dry,Ephemeral stream,water,15.7926494,119.9907979,SC,ephemeral,Y,,,,,,,,,,,,,,#N/A,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAM-22-19,12/18/2022,dry,Confluence of SC6 and SC7,water,15.7935989,119.9903666,SC,sc67,Y,319.5,32.1,183.9,8.543333333,2.3455,14.096,0.668,3.626,14.715,38.15,1.085,0,16.955,-37.16,58.52337941,160.8717285,17.08514181,157.7223329,523.9451665,1569.635877,156.3596718,0,326.1199228,0,,,0.117046759,0.000321743,0.017085142,0.157722333,2.095780666,3.139271755,0.02,5.55,,,0.295,2.695,,1.052720054,156.5452853,,,4.757688505,28.05538205,,0.00105272,0.156545285,,,0.004757689,0.056110764,
ZAM-22-20,12/18/2022,dry,SC5,water,15.7937441,119.9799095,SC,sc5,Y,353.6,32.1,203.6,8.53,3.9165,17.337,0.7455,4.0115,16.9835,40.372,1.111,0,15.083,1.035,97.72194221,197.8639832,19.06732518,174.4906615,604.7178209,1661.057396,160.0609829,0,290.1122718,38.34477587,,,0.195443884,0.000395728,0.019067325,0.174490661,2.418871284,3.322114791,0.045,3.95,,,0.48,3.495,,2.368620121,111.415113,,,7.74132367,36.38351031,,0.00236862,0.111415113,,,0.007741324,0.072767021,
ZAM-22-21,12/18/2022,dry,Off road ditch,water,15.7942422,119.9799621,SC,ephemeral,Y,,,,,,,,,,,,,,#N/A,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAM-22-22,12/18/2022,dry,SC4,water,15.7873184,119.9614864,SC,sc4,Y,362.8,31.1,209.8,8.443333333,6.674,19.308,0.854,3.9925,16.156,40.055,0.759,0,0,-9.594,166.5252757,220.3607529,21.84238189,173.6642069,575.2536941,1648.014812,109.3170564,0,0,0,,,0.333050551,0.000440722,0.021842382,0.173664207,2.301014777,3.296029624,0.025,3.905,,,0.755,4.425,,1.315900067,110.1458269,,,12.17645702,46.0649594,,0.0013159,0.110145827,,,0.012176457,0.092129919,
ZAM-22-23,12/19/2022,dry,Lawis River,water,15.5842774,119.9509547,West,lawis_river,Y,246.7,25.9,142.4,8.413333333,9.366,14.08,0.6465,2.771,13.7045,24.206,0.376,0,0,13.68,233.6942961,160.6995273,16.53524578,120.5318766,487.9651059,995.926764,54.11821248,0,0,507.0208455,0.704995059,1.52E-05,0.467388592,0.000321399,0.016535246,0.120531877,1.951860424,1.991853528,0.065,1.845,,,0.79,2.875,,3.421340175,52.04072998,,,12.74092854,29.92921091,,0.00342134,0.05204073,,,0.012740929,0.059858422,
ZAM-22-24,12/19/2022,dry,Masinloc River,water,15.5376104,119.9775937,West,masinloc_river,Y,249.6,27.1,143.8,8.14,9.09,90.909,5.495,8.24,11.82,16.635,0.563,0,2.167,5.238,226.8077249,1037.538151,140.543195,358.4203043,420.8652306,684.4270726,81.11014941,0,41.68064997,194.1500728,0.70804864,1.64E-05,0.45361545,0.002075076,0.140543195,0.358420304,1.683460922,1.368854145,0.461538462,3.384615385,,,1.153846154,5.076923077,,24.29353973,95.46767227,,,18.60895113,52.85158315,,0.02429354,0.095467672,,,0.018608951,0.105703166,
ZAM-22-25,12/19/2022,dry,Salasa River,water,15.4562751,119.9547225,West,salasa_river,Y,502,28.4,296.6,7.963333333,10.7495,82.106,1.7925,34.6,11.745,24.879,0.862,0,1.064,0.152,268.2144818,937.0723346,45.84598307,1505.017297,418.1947659,1023.61654,124.2166888,0,20.47427995,5.647712521,0.707934269,1.43E-05,0.536428964,0.001874145,0.045845983,1.505017297,1.672779064,2.04723308,0.02,82.31,,,0.68,12.695,,1.052720054,2321.665303,,,10.9668752,132.1569852,,0.00105272,2.321665303,,,0.010966875,0.26431397,
ZAM-22-26,12/19/2022,dry,Bagsit River,water,15.3856984,119.9611488,West,bagsit_river,Y,244.6,29.3,140.1,7.823333333,6.437,35.054,0.7715,2.896,12.5835,25.1205,0.491,0,3.129,146.055,160.611807,400.0740913,19.73231573,125.9690778,448.0505608,1033.552767,70.67603756,0,60.18553685,5413.157148,0.706859983,1.11E-05,0.321223614,0.000800148,0.019732316,0.125969078,1.792202243,2.067105534,0.01,2.095,,,0.445,3.09,,0.526360027,59.09231941,,,7.176852152,32.16739538,,0.00052636,0.059092319,,,0.007176852,0.064334791,
ZAM-22-27,12/19/2022,dry,Bancal River,water,15.3093338,120.000013,West,bancal_river,Y,8419,30.6,6008,7.363333333,332.54,1259.226,289.67,1314.25,109.82,1040.59,29.864,0,34.279,193.906,8297.320226,14371.44505,7408.762018,57166.7336,3910.272387,42813.82432,4302.558563,0,659.3332409,7186.599888,0.708962363,1.62E-05,16.59464045,0.02874289,7.408762018,57.1667336,15.64108955,85.62764863,,3224.25,,,,413.25,,,90944.34886,,,,4301.998751,,,90.94434886,,,,8.603997502,
ZAM-22-28,12/19/2022,dry,Bucao River,water,15.2645143,120.0366778,West,bucao_river,Y,378.6,31.1,216.8,7.666666667,33.1725,182.359,3.388,23.5435,21.7125,20.6745,4.041,0,1.809,22.196,827.6984879,2081.245672,86.65338391,1024.085975,773.0995193,850.6274429,582.1756651,0,34.80462425,822.6523417,0.704422364,9.48E-06,1.655396976,0.004162491,0.086653384,1.024085975,3.092398077,1.701254886,0.09,16.905,,,0.2,103.095,,4.737240242,476.8284771,,,3.225551529,1073.235478,,0.00473724,0.476828477,,,0.003225552,2.146470956,
ZAM-22-29,12/19/2022,dry,Dapya River,water,15.1536233,120.0543284,West,dapya_river,Y,1221,31,752.4,7.57,13.441,6998.354,5.9335,138.615,18.9315,42.2775,99.132,0,92.048,827.723,335.3710265,79871.64585,151.7585164,6029.421174,674.0786897,1739.456902,14282.08866,0,1770.49937,30677.37574,,,0.670742053,0.159743292,0.151758516,6.029421174,2.696314759,3.478913804,0.03,243.725,,,,43.85,,1.579080081,6874.594534,,,,456.4855299,,0.00157908,6.874594534,,,,0.91297106,
ZAM-22-30,12/19/2022,dry,Maloma River,water,15.116391,120.0623425,West,maloma_river,Y,251.8,32.5,143.8,7.913333333,11.2535,51.883,1.6605,7.009,21.376,20.914,0.476,0,0.143,-14.081,280.7899596,592.1336548,42.46987721,304.8747467,761.1180345,860.4813824,68.59228261,0,2.757958364,0,0.704554582,1.15E-05,0.561579919,0.001184267,0.042469877,0.304874747,3.044472138,1.720962765,0.04,3.26,,,0.135,7.265,,2.105440108,91.95272614,,,2.177247282,75.6298147,,0.00210544,0.091952726,,,0.002177247,0.151259629,
ZAM-23-01,8/22/2023,wet,"Bulsa River, ds",water,15.4649231,120.4498848,East,bulsa_river_ds,Y,177,27.92,88,8.28,18.406,226.297,1.159,9.06,20.138,12.588,1.108,1.451,7.222,-3.64,459.2544538,2582.708915,29.64323257,394.0883443,717.0375645,517.9181238,159.6871763,32.97186115,138.9126548,0,,,0.918508908,0.005165418,0.029643233,0.394088344,2.868150258,1.035836248,0.09133,2.97757,0,17.50029,,0,,4.807246126,83.98640454,0,219.0274093,0,0,,0.004807246,0.083986405,0,0.219027409,0,0,
ZAM-23-02,8/22/2023,wet,"Bulsa River, us",water,15.4524807,120.3689937,East,bulsa_river_us,Y,170,27.54,85,8.53,17.927,39.201,0.909,8.157,21.0285,12.8595,0.191,1.42,2.375,222.536,447.3027596,447.3938055,23.24909267,354.8100027,748.7448816,529.0886649,27.58396362,32.27074756,45.67366634,8247.70638,0.704381011,1.09E-05,0.894605519,0.000894788,0.023249093,0.354810003,2.994979526,1.05817733,0.11633,2.03528,0,13.61688,,0,,6.123146193,57.40783573,0,170.42403,0,0,,0.006123146,0.057407836,0,0.17042403,0,0,
ZAM-23-02,8/22/2023,wet,"Bulsa River, us",rock,15.4524807,120.3689937,East,bulsa_river_us,,,,,,85792.88717,128933,330.7097718,11334.35474,223147.6837,44263.94801,,,,,2140647.916,1.47E+06,8458.418187,493017.3392,7945440.047,1821186.917,,,,0,0.703909,0.000011,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAM-23-03,8/22/2023,wet,"Camiling River, us",water,15.558818,120.3697478,East,camiling_river_us,Y,166,27.36,83,8.43,15.231,23.236,0.72,5.023,17.755,15.617,0.201,4.862,2.323,55.491,380.0339338,265.1918307,18.41512291,218.4884937,632.1880007,642.5426867,29.00737554,110.4854095,44.68631558,2056.623066,,,0.760067868,0.000530384,0.018415123,0.218488494,2.528752003,1.285085373,0.05033,1.97429,0,6.71081,,0,,2.649170015,55.68752997,0,83.99011264,0,0,,0.00264917,0.05568753,0,0.083990113,0,0,
ZAM-23-04,8/22/2023,wet,"Camiling River, ds",water,15.6152163,120.3758317,East,camiling_river_ds,Y,177,28.38,89,8.49,15.923,28.626,0.745,5.165,17.345,16.182,0.251,5.272,1.946,15.865,397.3002645,326.7085487,19.0545369,224.6651543,617.5894606,665.7889323,36.10526823,119.7877063,37.42464841,588.002914,0.704421321,1.42E-05,0.794600529,0.000653417,0.019054537,0.224665154,2.470357842,1.331577865,0.07133,2.9316,0,9.16442,,0,,3.754526072,82.68975827,0,114.6986233,0,0,,0.003754526,0.082689758,0,0.114698623,0,0,
ZAM-23-05,8/22/2023,wet,Malabobo River,water,15.7025619,120.3188857,East,malabobo_river,Y,156,28.03,78,8.41,16.372,26.563,0.596,4.517,16.893,12.773,0.076,1.314,2.05,17.179,408.5034183,303.1565359,15.24362952,196.4787032,601.4954602,525.5297264,10.92764325,29.84785347,39.43056045,636.7120453,0.703817411,1.25E-05,0.817006837,0.000606313,0.01524363,0.196478703,2.405981841,1.051059453,0.02367,2.05031,0,5.67257,,6.16077,,1.245894184,57.83177728,0,70.99586984,0,64.13460337,,0.001245894,0.057831777,0,0.07099587,0,0.128269207,
ZAM-23-06,8/22/2023,wet,Bayaoas River,water,15.8240122,120.2453308,East,bayaoas_river,Y,208,29.9,104,8.74,22.989,29.646,0.6175,5.241,25.833,17.293,0.137,0.847,2.176,26.48,573.6064674,338.3479705,15.79352555,227.9709727,919.8148478,711.4996914,19.71793497,19.24421602,41.85372163,981.4061421,0.704113811,1.44E-05,1.147212935,0.000676696,0.015793526,0.227970973,3.679259391,1.422999383,0.12667,2.95254,0,6.86388,,2.01503,,6.667402461,83.2803994,0,85.90588235,0,20.97678534,,0.006667402,0.083280399,0,0.085905882,0,0.041953571,
ZAM-23-07,8/22/2023,wet,Mapita River,water,15.8944941,120.2049455,East,mapita_river,Y,261,30.65,130,8.39,30.571,46.786,0.639,7.964,29.794,19.382,0.132,2.623,1.895,30.622,762.7875642,533.959198,16.34342158,346.414964,1060.850988,797.4490846,19.08451544,59.58899813,36.44379751,1134.912024,0.704183311,1.54E-05,1.525575128,0.001067918,0.016343422,0.346414964,4.243403952,1.594898169,0.07567,2.79776,0,18.85688,,1.40278,,3.982966324,78.91461936,0,236.0060075,0,14.60316469,,0.003982966,0.078914619,0,0.236006008,0,0.029206329,
