Catchment,Ca_uM,Sr_nM,K_uM,Na_uM,Si_uM,Mg_uM,Li_nM,Re_nM,Cr_nM,Al_nM,Sr_ratio,Q_cv,drainage_area_km2,area_cv
lawis_river,0.6089834104572426,0.38124910305465703,1.4373608015508847,0.4758761145329911,0.236410796644873,0.19996571693213433,0.11085430482158183,,1.414213562373095,0.8048525100600236,0.0006933259248660387,0.11835051124571982,410.1649181,0.03
malabobo_river,0.14825696417690706,0.7407074487512936,0.7568308529774178,0.20141249610659873,0.05760014911808102,0.17264693116227212,0.6508598940184208,1.414213562373095,0.5348925545251014,0.540447507765536,8.447160103008577e-05,0.11542383025133889,26.30259549,0.03
maloma_river,0.13854791096871924,0.1313046490019955,0.21164472838974946,0.1070220511946199,0.03278803377705679,0.12662329300716213,0.10596867045552716,,1.28411166163873,0.8666151724448952,0.0004219589923188043,0.15900533840751307,17.16000489,0.16
mapita_river,0.0024732642734636837,0.07885475956730437,0.5721173260137116,0.1393771535101437,0.11920701728185462,0.05886995442335797,0.744842417177944,1.4142135623730951,0.1137841234480213,0.6027210050193991,4.7804000133713954e-05,0.12023426499806289,11.27224703,0.16
masinloc_river,0.6288255041460015,0.9949740082520939,1.5801022057148273,2.099295303793859,0.15345136814595245,0.7935094212436216,0.18984346659775933,,0.4177599956780506,0.898155449278278,0.001001334427535306,0.1576238924853836,40.11631544,0.03
pmb1,0.05506931647907515,0.14527847550470657,0.41236754445151896,0.21542067803412293,0.13795447251885218,0.12250253117765286,0.022914998143114866,1.4142135623730951,0.0037239852386635845,0.8691942357744216,1.049732481676049e-05,0.13260219479539237,1.179597436,0.24
pmb2,0.27110757998557466,0.6011451331273419,0.8580180428885078,0.29768966206333597,0.15378837892705055,0.21906886128965475,0.7325232071494078,1.4142135623730951,0.6651993267079404,1.5135342326434937,9.500104130364847e-06,0.13112875188961673,3.085054841,0.16
pmb3,0.4342135636209189,0.8229386056278966,0.7557696050570456,0.298822055664378,0.1290630090130995,0.15215127410978005,0.4096204308880015,,1.4142135623730951,1.5953130272295166,6.268519671458101e-05,0.13015308093515127,2.573780942,0.16
pmb4,0.9223224763135133,0.22589656398733407,0.7565801342335012,0.373388876480677,0.33775787931875484,0.17309806783407333,0.22888173198338616,,0.2696687015696968,1.248002839946251,5.441252962372408e-05,0.13054060402290052,3.423574794,0.16
salasa_river,0.19752780017775484,0.7341893710276417,0.7093835132032166,0.9640683776698575,0.07645435441551929,0.32249425704344364,0.8031352437590116,,0.36461035428935884,1.6160620685534945,0.0005536061051722184,0.1614548196821485,79.75379648,0.03
sc1,0.43647162729796307,0.6228600976845482,0.7380007955467018,0.5980352297641148,0.026456529191123228,0.34384708482373716,0.627843081475269,,0.12552706691295554,0.4603153132353705,0.0001779579417292264,0.110968127609921,3.958856007,0.16
sc4,0.20037859516415757,0.07242798438311335,0.40924301340689645,0.24940858060017249,0.15866380257423157,0.018492033676453936,0.4599849455891028,,1.414213562373095,1.68065053537905,0.0003287344912217365,0.1113042463144396,2.03724731,0.16
sc5,0.31435549969694515,0.19614816158929335,0.05775322415541345,0.040338762729901514,0.1548484785813074,0.07154239526493121,0.1357946479884948,,0.25294606026952743,1.414213562373095,,0.11159917815979156,4.016705706,0.16
sc6,0.11130358023024886,0.17477772737545264,0.6186939141624863,0.08117625185897859,0.16284946976002473,0.05668636331529504,0.3789812381157446,,,0.3953224017196132,,0.11180785453969669,21.72039399,0.16
sc7,0.13622764204099447,0.1004457291868284,0.6896717456231249,0.614759221242548,0.21216328999596126,0.17399478843223792,0.154068838158862,,0.009145653089461706,1.4030629223086584,0.0009228582238483485,0.11223096755791725,8.091830196,0.16
