,catchment,Ca_bslt_mol_km2_year,Ca_slct_mol_km2_year,Ca_carb_mol_km2_year,Ca_prec_mol_km2_year,Ca_umfc_mol_km2_year,Mg_bslt_mol_km2_year,Mg_slct_mol_km2_year,Mg_carb_mol_km2_year,Mg_prec_mol_km2_year,Mg_umfc_mol_km2_year,Na_bslt_mol_km2_year,Na_slct_mol_km2_year,Na_carb_mol_km2_year,Na_prec_mol_km2_year,Na_umfc_mol_km2_year,Cl_bslt_mol_km2_year,Cl_slct_mol_km2_year,Cl_carb_mol_km2_year,Cl_prec_mol_km2_year,Cl_umfc_mol_km2_year,Si_bslt_mol_km2_year,Si_slct_mol_km2_year,Si_carb_mol_km2_year,Si_prec_mol_km2_year,Si_umfc_mol_km2_year,Sr_bslt_mol_km2_year,Sr_slct_mol_km2_year,Sr_carb_mol_km2_year,Sr_prec_mol_km2_year,Sr_umfc_mol_km2_year,Sr8786_x_Sr_bslt_mol_km2_year,Sr8786_x_Sr_slct_mol_km2_year,Sr8786_x_Sr_carb_mol_km2_year,Sr8786_x_Sr_prec_mol_km2_year,Sr8786_x_Sr_umfc_mol_km2_year,norm_bslt_mol_km2_year,norm_slct_mol_km2_year,norm_carb_mol_km2_year,norm_prec_mol_km2_year,norm_umfc_mol_km2_year,annual_discharge_m3_yr
10,lawis_river,82868.27144505737,5889.2655180071915,42560.15349560324,53991.54331576117,22046.837631552637,305487.4981415326,13056.963831097091,9372.270694324137,58702.97018182619,686438.4374309023,27958.248104466547,31304.157075040064,0.0,59312.841840560075,2069.1549015078144,0.0,0.0,0.0,406481.0692868271,0.0,393890.4021091255,138819.27579643443,391.9118489883298,0.0,149974.01376220098,14.622556173796518,13.10436763697866,17.455104955853773,32.15756809659847,101.64644061677717,10.279189307091032,9.220166404300013,12.364345817914906,22.785877461022785,71.49052958784905,454157.00007469393,67913.81399448031,108186.94936851073,241260.9718037972,529539.8783657562,491119217.7566745
11,malabobo_river,163040.19484393,16027.571060578168,161626.0829406521,11249.987432646943,23694.01190449937,209172.26048123912,15269.999526226282,15280.547672331191,4723.92897348193,274193.59241837345,56701.42695456964,67404.75275380108,0.0,16741.472569485904,1082.3873687466562,0.0,0.0,0.0,37339.707148615606,0.0,276268.34418591484,135883.6786314522,641.9210347785456,0.0,63042.08725279212,30.344897510045467,42.63281530152541,71.0518644846512,27.623854445584687,155.6306513934885,21.31850246262244,29.9404179947769,50.25521670272164,19.55658016720496,109.2739028163424,437250.62282192777,100806.35438255452,208775.98269479035,30273.949682469603,259101.30731881957,21488606.693805143
12,maloma_river,186803.86909868696,31389.176185600532,138780.46536029485,33231.68228741422,31797.07357901584,506819.7830416738,63193.784086025786,26379.99047941655,28430.482741379896,795866.9509831283,144976.28423217408,306870.1798059377,0.0,112887.31832795819,3612.247327030392,0.0,0.0,0.0,200460.73032833642,0.0,699365.5394179237,522348.37174311926,1182.556554433792,0.0,185330.64015709615,74.35959253122158,167.50066667304185,136.9636055527817,149.49645592412665,363.31570404615286,52.28351780574518,117.76074479718665,96.9674672379553,105.89967003689634,255.55323336096689,933337.6977195153,334332.50910714024,317773.8340727649,163456.05305020575,662139.1935861108,30919324.98381789
13,mapita_river,214809.3352237874,28512.50469868671,250689.86687760855,12006.694861634076,24715.355494668955,261021.1811708292,25376.867696432964,23294.406675188326,5080.796393616411,273214.2790786808,79260.63700015283,111488.20964100948,0.0,18656.089872828492,1285.4622624224562,0.0,0.0,0.0,39226.06005231018,0.0,400309.29404038633,232660.20877211547,1097.1303654993785,0.0,70406.42462930267,36.12951518444685,61.813319416504555,99.68982615217055,33.534452956728856,140.84883538669965,25.3856310991305,43.44306309904673,70.5251867006109,23.744617692265763,98.87026093633803,566321.1958148868,155486.27637591137,316139.3061577094,31782.254075510435,259682.6545235286,7837758.123757107
14,masinloc_river,119646.23484272059,11814.422601188391,112619.51338128462,81026.11875770272,26293.202936401827,413012.17171367427,32489.669937309278,25517.432864185146,77665.80072488489,782827.55008461,346427.6264583978,929290.6677625348,0.0,287017.3924073841,9218.328318205957,0.0,0.0,0.0,2499574.553631634,0.0,461852.45171665284,189402.4748800664,731.0626740363549,0.0,153725.8472877418,69.78202668969868,129.89152771438575,176.2053431022781,418.33119022745996,362.6846504010899,49.172513334967476,91.56304808467047,124.9937579389333,296.94884273619914,256.2038455954559,1011332.2982326497,385079.9488274968,554458.0534420684,410196.5715490682,893799.2607392017,61202006.38766087
15,pmb1,243026.38050093298,13941.677040065486,567479.922984536,39740.29823555573,103338.24449871464,385738.32112455607,18620.09356441925,67709.92200623795,21387.156761436854,1567190.937533612,62522.19702753314,60111.06739731739,0.0,54748.19996216927,5126.331351437478,0.0,0.0,0.0,138315.3466501487,0.0,427139.87141719175,130167.74551204295,2109.031927386268,0.0,252359.34667543482,130.53401293351902,116.99971517845076,744.8269743791419,860.518724360917,823.5664032141575,92.0167811307648,82.5218961968341,528.4695586068173,611.036632719105,582.6529273157655,767762.6046481912,111467.16123131785,850910.7105168813,125942.46360006688,1354597.8099920668,1309432.381951922
16,pmb2,190718.4106752846,13460.213824399198,516373.9779688091,26968.24094325109,84696.01492977832,299534.0283688427,16733.101491072834,55375.79167750897,13060.957783247613,1293808.534294184,36325.8100179162,46295.205126181776,0.0,26677.528847224457,3398.010459839962,0.0,0.0,0.0,75556.62323626963,0.0,413346.28818787343,156294.09586769238,2287.479681362405,0.0,271068.2826935164,140.30913009016356,152.34387603225395,907.7731390542159,748.4962425531692,1413.8709258442464,98.87458037944498,107.31766558205382,643.9768716576154,531.606360760024,1001.3645073632044,558622.9202098774,100390.15606570701,727485.3023753822,80563.96614186108,1156363.481614713,3350879.5139244553
17,pmb3,166910.87752391328,9873.829912900415,359401.4516072655,23521.047384965677,75145.12586051776,304097.19838020566,13627.924633663202,47695.75084990294,14041.69527749953,1298782.193750879,32493.699428000666,31712.056218866666,0.0,26712.734915202105,2961.5929439959828,0.0,0.0,0.0,96526.7675293186,0.0,414323.41970897536,123837.21809850754,1782.1540363519848,0.0,274878.5993643604,49.57561585384376,45.93671532342708,282.7686285193881,264.3269460618714,287.67525058263533,34.91894687729285,32.393797297588165,200.65895064615643,187.69457945159388,203.55141096305204,563269.0595734229,79814.30551000664,572984.1460686487,83335.39946335643,1107574.268072344,2786316.6853871346
18,pmb4,210221.46378729647,13109.51800171915,574058.210942354,28236.676322806754,96394.2158243815,351878.84510356584,16165.81891198886,65495.51801388081,14776.223018626593,1395553.9341384668,44962.541443427705,45773.835321092665,0.0,31570.551400378696,3827.394108649263,0.0,0.0,0.0,109500.0945362841,0.0,329071.5135086997,104549.74062736327,1817.2548918718333,0.0,202673.58218747558,120.94695002654005,111.71772298631426,792.9657976968872,703.492644539986,873.3267589415874,85.25370901956906,78.72088672508997,563.366539269777,499.77962018196706,617.202529304864,644155.5350345739,97806.10107146575,827240.0750959677,89627.53972768055,1233195.495408947,3744711.1868233066
19,salasa_river,147996.91587162518,13790.41351090503,114438.84649534593,80466.30625805035,26217.053759991057,397202.71492346365,32859.296242089105,20147.991792128727,103131.3348708387,664866.3455927861,102554.66977490844,159248.98866388714,0.0,433748.0069911317,3027.6145769047143,0.0,0.0,0.0,1005615.5392078357,0.0,434087.4349491402,244080.50883064105,769.6044891315008,0.0,128842.62427375058,54.0890361323076,94.45808096926845,93.41958429797756,355.9980759813742,233.46126951311402,38.106595552448326,66.54608176365258,66.25098051229799,252.69882223226045,164.66557199496359,711602.303039428,190714.40744486154,233775.76838751923,600615.6916144706,562988.328837777,158747497.23793784
